Year,OPRHP Region,County,Facility,Attendance
2007,Thousand Islands,Jefferson,Grass Pnt River Park,38238
2006,Thousand Islands,Jefferson,Grass Pnt River Park,35098
2005,Thousand Islands,Jefferson,Grass Pnt River Park,38629
2004,Thousand Islands,Jefferson,Grass Pnt River Park,33809
2003,Thousand Islands,Jefferson,Grass Pnt River Park,31902
2020,Thousand Islands,Clinton,Great Chazy Boat Launch,16564
2019,Thousand Islands,Clinton,Great Chazy Boat Launch,16314
2018,Thousand Islands,Clinton,Great Chazy Boat Launch,18183
2017,Thousand Islands,Clinton,Great Chazy Boat Launch,16750
2016,Thousand Islands,Clinton,Great Chazy Boat Launch,19004
2015,Thousand Islands,Clinton,Great Chazy Boat Launch,19740
2014,Thousand Islands,Clinton,Great Chazy Boat Launch,17225
2013,Thousand Islands,Clinton,Great Chazy Boat Launch,26193
2012,Thousand Islands,Clinton,Great Chazy Boat Launch,21545
2011,Thousand Islands,Clinton,Great Chazy Boat Launch,13212
2010,Thousand Islands,Clinton,Great Chazy Boat Launch,14997
2009,Thousand Islands,Clinton,Great Chazy Boat Launch,14542
2008,Thousand Islands,Clinton,Great Chazy Boat Launch,13553
2007,Thousand Islands,Clinton,Great Chazy Boat Launch,15361
2006,Thousand Islands,Clinton,Great Chazy Boat Launch,23117
2005,Thousand Islands,Clinton,Great Chazy Boat Launch,29979
2004,Thousand Islands,Clinton,Great Chazy Boat Launch,25016
2003,Thousand Islands,Clinton,Great Chazy Boat Launch,24388
2020,Central,Onondaga,Green Lakes State Park,2148775
2019,Central,Onondaga,Green Lakes State Park,1103261
2018,Central,Onondaga,Green Lakes State Park,1101679
2017,Central,Onondaga,Green Lakes State Park,829713
2016,Central,Onondaga,Green Lakes State Park,984755
2015,Central,Onondaga,Green Lakes State Park,1082898
2014,Central,Onondaga,Green Lakes State Park,1079160
2013,Central,Onondaga,Green Lakes State Park,1122949
2012,Central,Onondaga,Green Lakes State Park,957959
2011,Central,Onondaga,Green Lakes State Park,905867
2010,Central,Onondaga,Green Lakes State Park,891557
2009,Central,Onondaga,Green Lakes State Park,848281
2008,Central,Onondaga,Green Lakes State Park,847567
2007,Central,Onondaga,Green Lakes State Park,835444
2006,Central,Onondaga,Green Lakes State Park,798179
2005,Central,Onondaga,Green Lakes State Park,808147
2004,Central,Onondaga,Green Lakes State Park,827467
2003,Central,Onondaga,Green Lakes State Park,788159
2020,Long Island,Suffolk,Hallock St Pk Preserve,62963
2019,Long Island,Suffolk,Hallock St Pk Preserve,24826
2018,Long Island,Suffolk,Hallock St Pk Preserve,22261
2017,Long Island,Suffolk,Hallock St Pk Preserve,19719
2020,Genesee,Monroe,Hamlin Beach State Park,384196
2019,Genesee,Monroe,Hamlin Beach State Park,345821
2018,Genesee,Monroe,Hamlin Beach State Park,324264
2017,Genesee,Monroe,Hamlin Beach State Park,302246
2016,Genesee,Monroe,Hamlin Beach State Park,360788
2015,Genesee,Monroe,Hamlin Beach State Park,326869
2014,Genesee,Monroe,Hamlin Beach State Park,278098
2013,Genesee,Monroe,Hamlin Beach State Park,260421
2012,Genesee,Monroe,Hamlin Beach State Park,287107
2011,Genesee,Monroe,Hamlin Beach State Park,278532
2010,Genesee,Monroe,Hamlin Beach State Park,271309
2009,Genesee,Monroe,Hamlin Beach State Park,248348
2008,Genesee,Monroe,Hamlin Beach State Park,246088
2007,Genesee,Monroe,Hamlin Beach State Park,282950
2006,Genesee,Monroe,Hamlin Beach State Park,247546
2005,Genesee,Monroe,Hamlin Beach State Park,259153
2004,Genesee,Monroe,Hamlin Beach State Park,240568
2003,Genesee,Monroe,Hamlin Beach State Park,266910
2020,Palisades,Orange/Rockland,Harriman Beaver Pond,46016
2019,Palisades,Orange/Rockland,Harriman Beaver Pond,75051
2018,Palisades,Rockland,Harriman Beaver Pond,72970
2017,Palisades,Rockland,Harriman Beaver Pond,72713
2016,Palisades,Rockland,Harriman Beaver Pond,67689
2015,Palisades,Rockland,Harriman Beaver Pond,46536
2014,Palisades,Rockland,Harriman Beaver Pond,38657
2013,Palisades,Rockland,Harriman Beaver Pond,42239
2012,Palisades,Rockland,Harriman Beaver Pond,38355
2011,Palisades,Rockland,Harriman Beaver Pond,31795
2010,Palisades,Rockland,Harriman Beaver Pond,42433
2009,Palisades,Rockland,Harriman Beaver Pond,41347
2008,Palisades,Rockland,Harriman Beaver Pond,66551
2007,Palisades,Rockland,Harriman Beaver Pond,73018
2006,Palisades,Rockland,Harriman Beaver Pond,61626
2005,Palisades,Rockland,Harriman Beaver Pond,70217
2004,Palisades,Rockland,Harriman Beaver Pond,75202
2003,Palisades,Rockland,Harriman Beaver Pond,67376
2020,Palisades,Orange/Rockland,Harriman Group Camp,32697
2019,Palisades,Orange/Rockland,Harriman Group Camp,191153
2018,Palisades,Orange/Rockland,Harriman Group Camp,184657
2017,Palisades,Orange/Rockland,Harriman Group Camp,193147
2016,Palisades,Orange/Rockland,Harriman Group Camp,125039
2015,Palisades,Orange/Rockland,Harriman Group Camp,160806
2014,Palisades,Orange/Rockland,Harriman Group Camp,161080
2013,Palisades,Orange/Rockland,Harriman Group Camp,174593
2012,Palisades,Orange/Rockland,Harriman Group Camp,197908
2011,Palisades,Orange/Rockland,Harriman Group Camp,200834
2010,Palisades,Orange/Rockland,Harriman Group Camp,202662
2009,Palisades,Orange/Rockland,Harriman Group Camp,178459
2008,Palisades,Orange/Rockland,Harriman Group Camp,107889
2007,Palisades,Orange/Rockland,Harriman Group Camp,149039
2006,Palisades,Orange/Rockland,Harriman Group Camp,177387
2005,Palisades,Orange/Rockland,Harriman Group Camp,250381
2004,Palisades,Orange/Rockland,Harriman Group Camp,339197
2003,Palisades,Orange/Rockland,Harriman Group Camp,319970
2020,Palisades,Orange/Rockland,Harriman Hiker Trail,257800
2019,Palisades,Orange/Rockland,Harriman Hiker Trail,118189
2018,Palisades,Orange/Rockland,Harriman Hiker Trail,126330
2017,Palisades,Orange/Rockland,Harriman Hiker Trail,131732
2016,Palisades,Orange/Rockland,Harriman Hiker Trail,126885
2015,Palisades,Orange/Rockland,Harriman Hiker Trail,97201
2014,Palisades,Orange/Rockland,Harriman Hiker Trail,64778
2013,Palisades,Orange/Rockland,Harriman Hiker Trail,45420
2012,Palisades,Orange/Rockland,Harriman Hiker Trail,76800
2011,Palisades,Orange/Rockland,Harriman Hiker Trail,86848
2010,Palisades,Orange/Rockland,Harriman Hiker Trail,39467
2009,Palisades,Orange/Rockland,Harriman Hiker Trail,35363
2008,Palisades,Orange/Rockland,Harriman Hiker Trail,29976
2007,Palisades,Orange/Rockland,Harriman Hiker Trail,31857
2006,Palisades,Orange/Rockland,Harriman Hiker Trail,30402
2005,Palisades,Orange/Rockland,Harriman Hiker Trail,29847
2004,Palisades,Orange/Rockland,Harriman Hiker Trail,27100
2003,Palisades,Orange/Rockland,Harriman Hiker Trail,24424
2020,Palisades,Rockland,Haverstraw Beach,17248
2019,Palisades,Rockland,Haverstraw Beach,22266
2018,Palisades,Rockland,Haverstraw Beach,23725
2017,Palisades,Rockland,Haverstraw Beach,22303
2016,Palisades,Rockland,Haverstraw Beach,22067
2015,Palisades,Rockland,Haverstraw Beach,25599
2014,Palisades,Rockland,Haverstraw Beach,30152
2013,Palisades,Rockland,Haverstraw Beach,22922
2012,Palisades,Rockland,Haverstraw Beach,13379
2011,Palisades,Rockland,Haverstraw Beach,11410
2010,Palisades,Rockland,Haverstraw Beach,10576
2009,Palisades,Rockland,Haverstraw Beach,13993
2008,Palisades,Rockland,Haverstraw Beach,16482
2007,Palisades,Rockland,Haverstraw Beach,17642
2006,Palisades,Rockland,Haverstraw Beach,26743
2005,Palisades,Rockland,Haverstraw Beach,43580
2004,Palisades,Rockland,Haverstraw Beach,0
2003,Palisades,Rockland,Haverstraw Beach,0
2020,Long Island,Suffolk,Heckscher St Park,1611171
2019,Long Island,Suffolk,Heckscher St Park,1133307
2018,Long Island,Suffolk,Heckscher St Park,1091829
2017,Long Island,Suffolk,Heckscher St Park,1068060
2016,Long Island,Suffolk,Heckscher St Park,1008730
2015,Long Island,Suffolk,Heckscher St Park,1189435
2014,Long Island,Suffolk,Heckscher St Park,982530
2013,Long Island,Suffolk,Heckscher St Park,1016340
2012,Long Island,Suffolk,Heckscher St Park,1314445
2011,Long Island,Suffolk,Heckscher St Park,1125800
2010,Long Island,Suffolk,Heckscher St Park,1280900
2009,Long Island,Suffolk,Heckscher St Park,1385349
2008,Long Island,Suffolk,Heckscher St Park,1098350
2007,Long Island,Suffolk,Heckscher St Park,917270
2006,Long Island,Suffolk,Heckscher St Park,772803
2005,Long Island,Suffolk,Heckscher St Park,830409
2004,Long Island,Suffolk,Heckscher St Park,855230
2003,Long Island,Suffolk,Heckscher St Park,841542
2020,Long Island,Nassau,Hempstead Lake St Pk,593769
2019,Long Island,Nassau,Hempstead Lake St Pk,397585
2018,Long Island,Nassau,Hempstead Lake St Pk,368362
2017,Long Island,Nassau,Hempstead Lake St Pk,373479
2016,Long Island,Nassau,Hempstead Lake St Pk,343512
2015,Long Island,Nassau,Hempstead Lake St Pk,303474
2014,Long Island,Nassau,Hempstead Lake St Pk,323863
2013,Long Island,Nassau,Hempstead Lake St Pk,305601
2012,Long Island,Nassau,Hempstead Lake St Pk,298706
2011,Long Island,Nassau,Hempstead Lake St Pk,289265
2010,Long Island,Nassau,Hempstead Lake St Pk,348866
2009,Long Island,Nassau,Hempstead Lake St Pk,343259
2008,Long Island,Nassau,Hempstead Lake St Pk,312946
2007,Long Island,Nassau,Hempstead Lake St Pk,322303
2006,Long Island,Nassau,Hempstead Lake St Pk,318500
2005,Long Island,Nassau,Hempstead Lake St Pk,327416
2004,Long Island,Nassau,Hempstead Lake St Pk,310059
2003,Long Island,Nassau,Hempstead Lake St Pk,291390
2020,Central,Herkimer,Herkimer Home,34435
2019,Central,Herkimer,Herkimer Home,6000
2018,Central,Herkimer,Herkimer Home,6916
2017,Central,Herkimer,Herkimer Home,1017
2016,Central,Herkimer,Herkimer Home,39657
2015,Central,Herkimer,Herkimer Home,29471
2014,Central,Herkimer,Herkimer Home,14042
2013,Central,Herkimer,Herkimer Home,17561
2012,Central,Herkimer,Herkimer Home,19055
2011,Central,Herkimer,Herkimer Home,13499
2010,Central,Herkimer,Herkimer Home,27854
2009,Central,Herkimer,Herkimer Home,27992
2008,Central,Herkimer,Herkimer Home,27940
2007,Central,Herkimer,Herkimer Home,23446
2006,Central,Herkimer,Herkimer Home,26128
2005,Central,Herkimer,Herkimer Home,27811
2004,Central,Herkimer,Herkimer Home,25377
2003,Central,Herkimer,Herkimer Home,27074
2020,Finger Lakes,Ontario,H H Spencer,79940
2019,Finger Lakes,Ontario,H H Spencer,56108
2018,Finger Lakes,Ontario,H H Spencer,51860
2017,Finger Lakes,Ontario,H H Spencer,47747
2016,Finger Lakes,Ontario,H H Spencer,56809
2015,Finger Lakes,Ontario,H H Spencer,64574
2014,Finger Lakes,Ontario,H H Spencer,61392
2013,Finger Lakes,Ontario,H H Spencer,40698
2012,Finger Lakes,Ontario,H H Spencer,23341
2011,Finger Lakes,Ontario,H H Spencer,32788
2010,Finger Lakes,Ontario,H H Spencer,9327
2009,Finger Lakes,Ontario,H H Spencer,5510
2008,Finger Lakes,Ontario,H H Spencer,6443
2007,Finger Lakes,Ontario,H H Spencer,8388
2006,Finger Lakes,Ontario,H H Spencer,11752
2005,Finger Lakes,Ontario,H H Spencer,7295
2004,Finger Lakes,Ontario,H H Spencer,8514
2003,Finger Lakes,Ontario,H H Spencer,22001
2020,Palisades,Orange,Highland Lakes,14126
2019,Palisades,Orange,Highland Lakes,8308
2018,Palisades,Orange,Highland Lakes,8822
2017,Palisades,Orange,Highland Lakes,8792
2016,Palisades,Orange,Highland Lakes,8638
2015,Palisades,Orange,Highland Lakes,7060
2014,Palisades,Orange,Highland Lakes,4451
2013,Palisades,Orange,Highland Lakes,2971
2012,Palisades,Orange,Highland Lakes,4077
2011,Palisades,Orange,Highland Lakes,5099
2010,Palisades,Orange,Highland Lakes,390
2009,Palisades,Orange,Highland Lakes,463
2008,Palisades,Orange,Highland Lakes,898
2007,Palisades,Orange,Highland Lakes,862
2006,Palisades,Orange,Highland Lakes,1281
2005,Palisades,Orange,Highland Lakes,1371
2004,Palisades,Orange,Highland Lakes,4
2003,Palisades,Orange,Highland Lakes,0
2020,Palisades,Rockland,High Tor St Pk,16363
2019,Palisades,Rockland,High Tor St Pk,24373
2018,Palisades,Rockland,High Tor St Pk,20190
2017,Palisades,Rockland,High Tor St Pk,29135
2016,Palisades,Rockland,High Tor St Pk,49340
2015,Palisades,Rockland,High Tor St Pk,22634
2014,Palisades,Rockland,High Tor St Pk,21524
2013,Palisades,Rockland,High Tor St Pk,24126
2012,Palisades,Rockland,High Tor St Pk,44970
2011,Palisades,Rockland,High Tor St Pk,62514
2010,Palisades,Rockland,High Tor St Pk,61566
2009,Palisades,Rockland,High Tor St Pk,53936
2008,Palisades,Rockland,High Tor St Pk,68440
2007,Palisades,Rockland,High Tor St Pk,64637
2006,Palisades,Rockland,High Tor St Pk,65881
2005,Palisades,Rockland,High Tor St Pk,67054
2004,Palisades,Rockland,High Tor St Pk,51437
2003,Palisades,Rockland,High Tor St Pk,48168
2020,Thousand Islands,St Lawrence,Higley Flow St Park,47185
2019,Thousand Islands,St Lawrence,Higley Flow St Park,44892
2018,Thousand Islands,St Lawrence,Higley Flow St Park,50121
2017,Thousand Islands,St Lawrence,Higley Flow St Park,48218
2016,Thousand Islands,St Lawrence,Higley Flow St Park,48858
2015,Thousand Islands,St Lawrence,Higley Flow St Park,51686
2014,Thousand Islands,St Lawrence,Higley Flow St Park,46564
2013,Thousand Islands,St Lawrence,Higley Flow St Park,46328
2012,Thousand Islands,St Lawrence,Higley Flow St Park,43901
2011,Thousand Islands,St Lawrence,Higley Flow St Park,41606
2010,Thousand Islands,St Lawrence,Higley Flow St Park,44672
2009,Thousand Islands,St Lawrence,Higley Flow St Park,41208
2008,Thousand Islands,St Lawrence,Higley Flow St Park,37709
2007,Thousand Islands,St Lawrence,Higley Flow St Park,40130
2006,Thousand Islands,St Lawrence,Higley Flow St Park,32319
2005,Thousand Islands,St Lawrence,Higley Flow St Park,32462
2004,Thousand Islands,St Lawrence,Higley Flow St Park,27453
2003,Thousand Islands,St Lawrence,Higley Flow St Park,33650
2020,Long Island,Suffolk,Hither Hills,511665
2019,Long Island,Suffolk,Hither Hills,497769
2018,Long Island,Suffolk,Hither Hills,608630
2017,Long Island,Suffolk,Hither Hills,646940
2016,Long Island,Suffolk,Hither Hills,646379
2015,Long Island,Suffolk,Hither Hills,420868
2014,Long Island,Suffolk,Hither Hills,425642
2013,Long Island,Suffolk,Hither Hills,371660
2012,Long Island,Suffolk,Hither Hills,337215
2011,Long Island,Suffolk,Hither Hills,348730
2010,Long Island,Suffolk,Hither Hills,356649
2009,Long Island,Suffolk,Hither Hills,353865
2008,Long Island,Suffolk,Hither Hills,355138
2007,Long Island,Suffolk,Hither Hills,352371
2006,Long Island,Suffolk,Hither Hills,351380
2005,Long Island,Suffolk,Hither Hills,360880
2004,Long Island,Suffolk,Hither Hills,357026
2003,Long Island,Suffolk,Hither Hills,357220
2020,Finger Lakes,Ontario,Honeoye Bt Lau,41009
2019,Finger Lakes,Ontario,Honeoye Bt Lau,41599
2018,Finger Lakes,Ontario,Honeoye Bt Lau,46817
2017,Finger Lakes,Ontario,Honeoye Bt Lau,52811
2016,Finger Lakes,Ontario,Honeoye Bt Lau,54472
2015,Finger Lakes,Ontario,Honeoye Bt Lau,49960
2014,Finger Lakes,Ontario,Honeoye Bt Lau,35610
2013,Finger Lakes,Ontario,Honeoye Bt Lau,43086
2012,Finger Lakes,Ontario,Honeoye Bt Lau,38200
2011,Finger Lakes,Ontario,Honeoye Bt Lau,30078
2010,Finger Lakes,Ontario,Honeoye Bt Lau,26409
2009,Finger Lakes,Ontario,Honeoye Bt Lau,26417
2008,Finger Lakes,Ontario,Honeoye Bt Lau,25996
2007,Finger Lakes,Ontario,Honeoye Bt Lau,31986
2006,Finger Lakes,Ontario,Honeoye Bt Lau,30408
2005,Finger Lakes,Ontario,Honeoye Bt Lau,29129
2004,Finger Lakes,Ontario,Honeoye Bt Lau,31572
2003,Finger Lakes,Ontario,Honeoye Bt Lau,28387
2020,Palisades,Rockland,Hook Mountain,50752
2019,Palisades,Rockland,Hook Mountain,27528
2018,Palisades,Rockland,Hook Mountain,28908
2017,Palisades,Rockland,Hook Mountain,25874
2016,Palisades,Rockland,Hook Mountain,26603
2015,Palisades,Rockland,Hook Mountain,29976
2014,Palisades,Rockland,Hook Mountain,36806
2013,Palisades,Rockland,Hook Mountain,29604
2012,Palisades,Rockland,Hook Mountain,19273
2011,Palisades,Rockland,Hook Mountain,16629
2010,Palisades,Rockland,Hook Mountain,15289
2009,Palisades,Rockland,Hook Mountain,22681
2008,Palisades,Rockland,Hook Mountain,26609
2007,Palisades,Rockland,Hook Mountain,30164
2006,Palisades,Rockland,Hook Mountain,44967
2005,Palisades,Rockland,Hook Mountain,62177
2004,Palisades,Rockland,Hook Mountain,0
2003,Palisades,Rockland,Hook Mountain,0
2020,Taconic,Putnam,Hudson Highlands,480802
2019,Taconic,Putnam,Hudson Highlands,477864
2018,Taconic,Dutchess/Putnam,Hudson Highlands,376794
2017,Taconic,Dutchess/Putnam,Hudson Highlands,384577
2016,Taconic,Dutchess/Putnam,Hudson Highlands,254524
2015,Taconic,Dutchess/Putnam,Hudson Highlands,271408
2014,Taconic,Dutchess/Putnam,Hudson Highlands,224015
2013,Taconic,Dutchess/Putnam,Hudson Highlands,217826
2012,Taconic,Dutchess/Putnam,Hudson Highlands,211767
2011,Taconic,Dutchess/Putnam,Hudson Highlands,205792
2010,Taconic,Dutchess/Putnam,Hudson Highlands,173314
2009,Taconic,Dutchess/Putnam,Hudson Highlands,159276
2008,Taconic,Dutchess/Putnam,Hudson Highlands,156992
2007,Taconic,Dutchess/Putnam,Hudson Highlands,175067
2006,Taconic,Dutchess/Putnam,Hudson Highlands,169780
2005,Taconic,Dutchess/Putnam,Hudson Highlands,162511
2004,Taconic,Dutchess/Putnam,Hudson Highlands,127460
2003,Taconic,Dutchess/Putnam,Hudson Highlands,77121
2020,Saratoga/Capital,Columbia,Hudson River Islands,0
2019,Saratoga/Capital,Columbia,Hudson River Islands,0
2016,Saratoga,Columbia,Hudson River Islands,0
2015,Saratoga,Columbia,Hudson River Islands,0
2014,Saratoga,Columbia,Hudson River Islands,0
2013,Saratoga,Columbia,Hudson River Islands,0
2012,Saratoga,Columbia,Hudson River Islands,0
2011,Saratoga,Columbia,Hudson River Islands,0
2010,Saratoga,Columbia,Hudson River Islands,0
2009,Saratoga,Columbia,Hudson River Islands,7012
2008,Saratoga,Columbia,Hudson River Islands,8686
2007,Saratoga,Columbia,Hudson River Islands,10181
2006,Saratoga,Columbia,Hudson River Islands,5729
2005,Saratoga,Columbia,Hudson River Islands,0
2004,Saratoga,Columbia,Hudson River Islands,0
2003,Saratoga,Columbia,Hudson River Islands,0
2020,Central,Chenango,Hunts Pond State Park,0
2019,Central,Chenango,Hunts Pond State Park,0
2016,Central,Chenango,Hunts Pond State Park,0
2015,Central,Chenango,Hunts Pond State Park,0
2014,Central,Chenango,Hunts Pond State Park,0
2013,Central,Chenango,Hunts Pond State Park,0
2012,Central,Chenango,Hunts Pond State Park,0
2011,Central,Chenango,Hunts Pond State Park,0
2010,Central,Chenango,Hunts Pond State Park,0
2009,Central,Chenango,Hunts Pond State Park,4757
2008,Central,Chenango,Hunts Pond State Park,7927
2007,Central,Chenango,Hunts Pond State Park,5957
2006,Central,Chenango,Hunts Pond State Park,4487
2005,Central,Chenango,Hunts Pond State Park,7335
2004,Central,Chenango,Hunts Pond State Park,6248
2003,Central,Chenango,Hunts Pond State Park,11816
2020,Finger Lakes,Steuben,Indian Hills Golf Course,19749
2019,Finger Lakes,Steuben,Indian Hills Golf Course,18331
2018,Finger Lakes,Steuben,Indian Hills Golf Course,13160
2017,Finger Lakes,Steuben,Indian Hills Golf Course,20261
2016,Finger Lakes,Steuben,Indian Hills Golf Course,0
2015,Finger Lakes,Steuben,Indian Hills Golf Course,0
2014,Finger Lakes,Steuben,Indian Hills Golf Course,16341
2013,Finger Lakes,Steuben,Indian Hills Golf Course,13528
2012,Finger Lakes,Steuben,Indian Hills Golf Course,31905
2011,Finger Lakes,Steuben,Indian Hills Golf Course,26560
2010,Finger Lakes,Steuben,Indian Hills Golf Course,31955
2009,Finger Lakes,Steuben,Indian Hills Golf Course,38303
2008,Finger Lakes,Steuben,Indian Hills Golf Course,43396
2007,Finger Lakes,Steuben,Indian Hills Golf Course,31325
2006,Finger Lakes,Steuben,Indian Hills Golf Course,0
2005,Finger Lakes,Steuben,Indian Hills Golf Course,0
2004,Finger Lakes,Steuben,Indian Hills Golf Course,0
2003,Finger Lakes,Steuben,Indian Hills Golf Course,0
2020,Genesee,Monroe,Irondquoit Bay Boat Lnch,30250
2019,Genesee,Monroe,Irondquoit Bay Boat Lnch,38653
2018,Genesee,Monroe,Irondquoit Bay Boat Lnch,35478
2017,Genesee,Monroe,Irondquoit Bay Boat Lnch,30626
2016,Genesee,Monroe,Irondquoit Bay Boat Lnch,45293
2015,Genesee,Monroe,Irondquoit Bay Boat Lnch,46197
2014,Genesee,Monroe,Irondquoit Bay Boat Lnch,41812
2013,Genesee,Monroe,Irondquoit Bay Boat Lnch,45678
2012,Genesee,Monroe,Irondquoit Bay Boat Lnch,46344
2011,Genesee,Monroe,Irondquoit Bay Boat Lnch,38872
2010,Genesee,Monroe,Irondquoit Bay Boat Lnch,38563
2009,Genesee,Monroe,Irondquoit Bay Boat Lnch,39121
2008,Genesee,Monroe,Irondquoit Bay Boat Lnch,35540
2007,Genesee,Monroe,Irondquoit Bay Boat Lnch,20849
2006,Genesee,Monroe,Irondquoit Bay Boat Lnch,23006
2005,Genesee,Monroe,Irondquoit Bay Boat Lnch,37536
2004,Genesee,Monroe,Irondquoit Bay Boat Lnch,0
2003,Genesee,Monroe,Irondquoit Bay Boat Lnch,0
2020,Thousand Islands,St Lawrence,Jacques Cartier St Pk,28793
2019,Thousand Islands,St Lawrence,Jacques Cartier St Pk,27979
2018,Thousand Islands,St Lawrence,Jacques Cartier St Pk,26147
2017,Thousand Islands,St Lawrence,Jacques Cartier St Pk,25485
2016,Thousand Islands,St Lawrence,Jacques Cartier St Pk,22966
2015,Thousand Islands,St Lawrence,Jacques Cartier St Pk,21467
2014,Thousand Islands,St Lawrence,Jacques Cartier St Pk,22022
